Song, Composer 
Dizzy Miss Lizzy,Williams
Act Naturally,Morrison/Russel
Wait,Lennon/McCartney
Run for Your Life,Lennon
Norwegian Wood (This Bird Has Flown),Lennon
Drive My Car,McCartney
If I Need Someone,Harrison
In My Life,Lennon/McCartney
Nowhere Man,Lennon
I´m Looking Through You,McCartney
Michelle,McCartney
What Goes On,Lennon/McCartney
Think for Yourself,Harrison
The Word,Lennon/McCartney
You Won´t See Me,McCartney
Girl,Lennon
Tomorrow Never Knows,Lennon
Got to Get You Into My Life,McCartney
Love You to,Harrison
Doctor Robert,Lennon
And Your Bird Can Sing,Lennon
Taxman,Harrison
I´m Only Sleeping,Lennon
Eleanor Rigby,McCartney
For No One,McCartney
Yellow Submarine,McCartney
I Want to Tell You,Harrison
Good Day Sunshine,McCartney
Here  There and Everywhere,McCartney
She Said She Said,Lennon
When I´m 64,McCartney
A Day in the Life,Lennon/McCartney
Sgt. Pepper´s Lonely Hearts Club Band,McCartney
Good Morning Good Morning,Lennon
Fixing a Hole,McCartney
Being For the Benefit of Mr. Kite,Lennon
Lovely Rita,McCartney
Lucy in the Sky with Diamonds,Lennon
Getting Better,McCartney
Within You Without You,Harrison
She´s Leaving Home,McCartney
With a Little Help From My Friends,McCartney
Sgt. Pepper´s Lonely Hearts Club Band (Reprise),McCartney
Magical Mystery Tour,McCartney
Your Mother Should Know,McCartney
Blue Jay Way,Harrison
Flying,Harrison/Lennon/McCartney/Starkey
The Fool on the Hill,McCartney
I Am the Walrus,Lennon
Revolution 1,Lennon
Don´t Pass Me By,Starkey
Revolution 9,Lennon
Blackbird,McCartney
Everybody´s Got Something to Hide Except Me and My Monkey,Lennon
Good Night,Lennon
Ob-la-di  Ob-la-da,McCartney
Cry Baby Cry,Lennon
Helter Skelter,McCartney
Sexy Sadie,Lennon
While My Guitar Gently Weeps,Harrison
Mother Nature´s Son,McCartney
Yer Blues,Lennon
Rocky Raccoon,McCartney
Wild Honey Pie,McCartney
Back in the USSR,McCartney
Dear Prudence,Lennon
Glass Onion,Lennon
I Will,McCartney
Birthday,McCartney
Piggies,Harrison
Happiness is a Warm Gun,Lennon
Honey Pie,McCartney
Savoy Truffle,Harrison
Martha My Dear,McCartney
Long Long Long,Harrison
I´m So Tired,Lennon
The Continuing Story of Bungalow Bill,Lennon
Why Don´t We Do It in the Road?,McCartney
Julia,Lennon
Yellow Submarine,McCartney
Only a Nothern Song,Harrison
All Together Now,McCartney
It´s All Too Much,Harrison
All You Need is Love,Lennon
Hey Bulldog,Lennon/McCartney
I Want You (She´s So Heavy),Lennon
Something,Harrison
Oh! Darling,McCartney
Octopus´s Garden,Starkey
You Never Give Me Your Money,McCartney
Her Majesty,McCartney
Golden Slumbers,McCartney
Carry That Weight,McCartney
Here Comes the Sun,Harrison
Maxwell´s Silver Hammer,McCartney
Come Together,Lennon
The End,McCartney
Sun King,Lennon
Mean Mr Mustard,Lennon
Polythene Pam,Lennon
She Came in Through the Bathroom Window,McCartney
Because,Lennon
Across the Universe,Lennon
Dig a Ponny,Lennon
I´ve Got a Feeling,Lennon/McCartney
Get Back,McCartney
Two of Us,McCartney
Maggie Mae,Trad. arr.
Dig It,Lennon
For You Blue,Harrison
Let It Be,McCartney
The Long and Winding Road,McCartney
One After 909,Lennon
I Me Mine,Harrison
From Me to You  1963,Lennon/McCartney
Thank You Girl  1963,Lennon/McCartney
She Loves You  1963,Lennon/McCartney
I´ll Get You  1963,Lennon/McCartney
I Want to Hold Your Hand  1963,Lennon/McCartney
This Boy  1963,Lennon
She´s a Woman  1964,McCartney
I Feel Fine  1964,Lennon
Yes it is  1965,Lennon
I´m Down  1965,McCartney
Day Tripper  1965,Lennon
We Can Work It Out  1965,Lennon/McCartney
Paperback Writer  1966,McCartney
Rain  1966,Lennon
Strawberry Fields Forever  1967,Lennon
Penny Lane  1967,McCartney
Baby  You´re a Rich Man  1967,Lennon/McCartney
Hello  Goodbye  1967,McCartney
The Inner Light  1968,Harrison
Lady Madonna  1968,McCartney
Hey Jude  1968,McCartney
Don´t Let Me Down  1969,Lennon
The Ballad of John and Yoko  1969,Lennon
Old Brown Shoe  1969,Harrison
You Know My Name (Look up the Number)  1970,Lennon
