,Song,Composer,Singer
87,Tomorrow Never Knows,Lennon,Lennon
88,Got to Get You Into My Life,McCartney,McCartney
90,Doctor Robert,Lennon,Lennon
91,And Your Bird Can Sing,Lennon,Lennon
93,I´m Only Sleeping,Lennon,Lennon
94,Eleanor Rigby,McCartney,McCartney
95,For No One,McCartney,McCartney
96,Yellow Submarine,McCartney,Starr
98,Good Day Sunshine,McCartney,McCartney
99,Here  There and Everywhere,McCartney,McCartney
100,She Said She Said,Lennon,Lennon
101,When I´m ,McCartney,McCartney
103,Sgt. Pepper´s Lonely Hearts Club Band,McCartney,McCartney
104,Good Morning Good Morning,Lennon,Lennon
105,Fixing a Hole,McCartney,McCartney
106,Being For the Benefit of Mr. Kite,Lennon,Lennon
107,Lovely Rita,McCartney,McCartney
108,Lucy in the Sky with Diamonds,Lennon,Lennon
109,Getting Better,McCartney,McCartney
111,She´s Leaving Home,McCartney,McCartney
112,With a Little Help From My Friends,McCartney,Starr
113,Sgt. Pepper´s Lonely Hearts Club Band (Reprise),McCartney,Lennon/McCartney/Harrison/Starr
114,Magical Mystery Tour,McCartney,McCartney
115,Your Mother Should Know,McCartney,McCartney
118,The Fool on the Hill,McCartney,McCartney
119,I Am the Walrus,Lennon,Lennon
120,Revolution ,Lennon,Lennon
122,Revolution ,Lennon, Instrumental 
123,Blackbird,McCartney,McCartney
124,Everybody´s Got Something to Hide Except Me and My Monkey,Lennon,Lennon
125,Good Night,Lennon,Starr
126,Ob-la-di  Ob-la-da,McCartney,McCartney
127,Cry Baby Cry,Lennon,Lennon
128,Helter Skelter,McCartney,McCartney
129,Sexy Sadie,Lennon,Lennon
131,Mother Nature´s Son,McCartney,McCartney
132,Yer Blues,Lennon,Lennon
133,Rocky Raccoon,McCartney,McCartney
134,Wild Honey Pie,McCartney,McCartney
135,Back in the USSR,McCartney,McCartney
136,Dear Prudence,Lennon,Lennon
137,Glass Onion,Lennon,Lennon
138,I Will,McCartney,McCartney
139,Birthday,McCartney,Lennon/McCartney
141,Happiness is a Warm Gun,Lennon,Lennon
142,Honey Pie,McCartney,McCartney
144,Martha My Dear,McCartney,McCartney
146,I´m So Tired,Lennon,Lennon
147,The Continuing Story of Bungalow Bill,Lennon,Lennon
148,Why Don´t We Do It in the Road?,McCartney,McCartney
149,Julia,Lennon,Lennon
150,Yellow Submarine,McCartney,Starr
152,All Together Now,McCartney,McCartney
154,All You Need is Love,Lennon,Lennon
156,I Want You (She´s So Heavy),Lennon,Lennon
158,Oh! Darling,McCartney,McCartney
160,You Never Give Me Your Money,McCartney,McCartney
161,Her Majesty,McCartney,McCartney
162,Golden Slumbers,McCartney,McCartney
163,Carry That Weight,McCartney,McCartney
165,Maxwell´s Silver Hammer,McCartney,McCartney
166,Come Together,Lennon,Lennon
167,The End,McCartney,McCartney
168,Sun King,Lennon,Lennon
169,Mean Mr Mustard,Lennon,Lennon
170,Polythene Pam,Lennon,Lennon
171,She Came in Through the Bathroom Window,McCartney,McCartney
172,Because,Lennon,Lennon/McCartney/Harrison
173,Across the Universe,Lennon,Lennon
174,Dig a Ponny,Lennon,Lennon
176,Get Back,McCartney,McCartney
177,Two of Us,McCartney,Lennon/McCartney
179,Dig It,Lennon,Lennon
181,Let It Be,McCartney,McCartney
182,The Long and Winding Road,McCartney,McCartney
183,One After ,Lennon,Lennon/McCartney
190,This Boy  ,Lennon,Lennon/McCartney/Harrison
191,She´s a Woman  ,McCartney,McCartney
192,I Feel Fine  ,Lennon,Lennon
193,Yes it is  ,Lennon,Lennon
194,I´m Down  ,McCartney,McCartney
195,Day Tripper  ,Lennon,Lennon/McCartney
197,Paperback Writer  ,McCartney,McCartney
198,Rain  ,Lennon,Lennon
199,Strawberry Fields Forever  ,Lennon,Lennon
200,Penny Lane  ,McCartney,McCartney
202,Hello  Goodbye  ,McCartney,McCartney
204,Lady Madonna  ,McCartney,McCartney
205,Hey Jude  ,McCartney,McCartney
206,Don´t Let Me Down  ,Lennon,Lennon
207,The Ballad of John and Yoko  ,Lennon,Lennon
209,You Know My Name (Look up the Number)  ,Lennon,Lennon/McCartney/Starr
