Composer,Lyrics
Lennon,Cry baby cry Make your mother sigh She s old enough to know better The king of Marigold was in the kitchen Cooking breakfast for the queen The queen was in the parlour Playing piano for the children of the king Cry baby cry Make your mother sigh She s old enough to know better So cry baby cry The king was in the garden Picking flowers for a friend who came to play The queen was in the playroom Painting pictures for the children s holiday Cry baby cry Make your mother sigh She s old enough to know better So cry baby cry The duchess of Kircaldy always smiling And arriving late for tea The duke was having problems With a message at the local Bird and Bee Cry baby cry Make your mother sigh She s old enough to know better So cry baby cry At twelve o clock a meeting round the table For a seance in the dark With voices out of nowhere Put on specially by the children for a lark Cry baby cry Make your mother sigh She s old enough to know better So cry baby cry Cry cry cry baby Make your mother sigh She s old enough to know better So cry baby cry Cry and cry and cry Make your mother sigh She s old enough to know better So cry baby cry Can you take me back where I came from Can you take me back Can you take me back where I came from Brahma can you take me back Can you take me back Mm can you take me where I came from Can you take me back
Lennon,Got a good reason For taking the easy way out Got a good reason For taking the easy way out now She was a day tripper A one way ticket yeah It took me so long To find out and I found out She s a big teaser She took me half the way there She s a big teaser She took me half the way there now She was a day tripper A one way ticket yeah It took me so long To find out and I found out Tried to please her She only played one night stands Tried to please her She only played one night stands now She was a day tripper A Sunday driver yeah It took me so long To find out and I found out Day tripper Day tripper yeah Day tripper Day tripper yeah Day tripper
Lennon,Dear Prudence Won t you come out to play Dear Prudence Greet the brand new day hey The sun is up the sky is blue It s beautiful and so are you Dear Prudence Won t you come out to play Dear Prudence Open up your eyes Dear Prudence See the sunny skies The wind is low the birds will sing That you are part of everything Dear Prudence Won t you open up your eyes Look around round Look around round round Look around Dear Prudence Let me see you smile Dear Prudence Like a little child The clouds will be a daisy chain So let me see you smile again Dear Prudence Won t you let me see you smile Dear Prudence Won t you come out to play Dear Prudence Greet the brand new day The sun is up the sky is blue It s beautiful and so are you Dear Prudence Won t you come out to play
Lennon,I dig a pony Well you can celebrate anything you want Yes you can celebrate anything you want Oh I do a road hog Well you can penetrate any place you go Yes you can penetrate any place you go I told you so All I want is you Everything has got to be just like you want it to Because I pick a moon dog Well you can radiate everything you are Yes you can radiate everything you are Oh now I roll a stoney Well you can imitate everyone you know Yes you can imitate everyone you know I told you so All I want is you Everything has got to be just like you want it to Because Oh now I feel the wind blow Well you can indicate everything you see Yes you can indicate anything you see Oh now I load a lorry Well you can syndicate any boat you row Yeah you can syndicate any boat you row I told you so All I want is you Everything has got to be just like you want it to Because You
Lennon,Like a rolling stone Like a rolling stone Like a rolling stone Like the FBI And the CIA And the BBC B B King And Doris Day Matt Busby dig it dig it Dig it dig it dig it That was Can You Dig It by Georgie Wood And now we d like to do Hark the Angels Come
Lennon,You ll never know how much I really love you You ll never know how much I really care Listen Do you want to know a secret Do you promise not to tell Whoa oh oh Closer Let me whisper in your ear Say the words you long to hear I m in love with you ooh Listen Do you want to know a secret Do you promise not to tell Whoa oh oh Closer Let me whisper in your ear Say the words you long to hear I m in love with you ooh I ve known a secret for a week or two Nobody knows just we two Listen Do you want to know a secret Do you promise not to tell Whoa oh oh Closer Let me whisper in your ear Say the words you long to hear I m in love with you ooh Ooh
Lennon,Ring my friend I said you d call Doctor Robert Day or night he ll be there any time at all Doctor Robert Doctor Robert You re a new and better man He helps you to understand He does everything he can Doctor Robert If you re down he ll pick you up Doctor Robert Take a drink from his special cup Doctor Robert Doctor Robert He s a man you must believe Helping anyone in need No one can succeed like Doctor Robert Well well well you re feeling fine Well well well he ll make you Doctor Robert My friend works for the National Health Doctor Robert You ll pay money just to see yourself With Doctor Robert Doctor Robert You re a new and better man He helps you to understand He does everything he can Bob Robert Well well well you re feeling fine Well well well he ll make you Doctor Robert Ring my friend I said you d call Doctor Robert Ring my friend I said you d call Bob Robert Doctor Robert
Lennon,Don t let me down don t let me down Don t let me down don t let me down Nobody ever loved me like she does Ooh she does Yeah she does And if somebody loved me like she do me Ooh she do me Yes she does Don t let me down don t let me down Don t let me down don t let me down I m in love for the first time Don t you know it s gonna last It s a love that lasts forever It s a love that has no past Don t let me down don t let me down Don t let me down don t let me down And from the first time that she really done me Ooh she done me She done me good I guess nobody ever really done me Ooh she done me She done me good Don t let me down hey don t let me down Please don t let me down Please Ow Don t let me down Don t let me down Can you dig it Yeah
Lennon,Come on come on come on come on Come on it s such a joy come on it s such a joy Come on let s take it easy come on let s take it easy Take it easy Take it easy Everybody s got something to hide Except for me and my monkey Woo The deeper you go the higher you fly The higher you fly the deeper you go So come on come on Come on it s such a joy come on it s such a joy Come on let s make it easy come on let s take it easy Take it easy Take it easy Everybody s got something to hide Except for me and my monkey yeah Oh Your inside is out when your outside is in Your outside is in when your inside is out So come on come on Come on it s such a joy come on it s such a joy Come on let s make it easy come on let s make it easy Make it easy Make it easy Everybody s got something to hide Except for me and my monkey Hey Yeah Come on come on come on come on
Lennon,Is there anybody going to listen to my story All about the girl who came to stay She s the kind of girl you want so much it makes you sorry Still you don t regret a single day Ah girl Girl girl When I think of all the times I ve tried so hard to leave her She will turn to me and start to cry And she promises the Earth to me and I believe her After all this time I don t know why Ah girl Girl girl She s the kind of girl who puts you down When friends are there you feel a fool When you say she s looking good She acts as if it s understood She s cool ooh ooh ooh Girl Girl girl Was she told when she was young that pain would lead to pleasure Did she understand it when they said That a man must break his back to earn his day of leisure Will she still believe it when he s dead Ah girl Girl girl Ah girl Girl girl
Lennon,I told you about Strawberry Fields You know the place where nothing is real Well here s another place you can go Where everything flows Looking through the bent back tulips To see how the other half lives Looking through a glass onion I told you about the walrus and me man You know that we re as close as can be man Well here s another clue for you all The walrus was Paul Standing on the cast iron shore yeah Lady Madonna trying to make ends meet yeah Looking through a glass onion Oh yeah oh yeah oh yeah Looking through a glass onion I told you about the fool on the hill I tell you man he s living there still Well here s another place you can be Listen to me Fixing a hole in the ocean Trying to make a dovetail joint yeah Looking through a glass onion
Lennon,Good morning good morning Good morning good morning Good morning Nothing to do to save his life call his wife in Nothing to say but what a day how s your boy been Nothing to do it s up to you I ve got nothing to say but it s okay Good morning good morning Good morning Going to work don t want to go feeling low down Heading for home you start to roam then you re in town Everybody knows there s nothing doing Everything is closed it s like a ruin Everyone you see is half asleep And you re on your own you re in the street After a while you start to smile now you feel cool Then you decide to take a walk by the old school Nothing has changed it s still the same I ve got nothing to say but it s okay Good morning good morning Good morning People running round it s five o clock Everywhere in town it s getting dark Everyone you see is full of life It s time for tea and Meet the Wife Somebody needs to know the time glad that I m here Watching the skirts you start to flirt now you re in gear Go to a show you hope she goes I ve got nothing to say but it s okay Good morning good morning good Good morning good morning good Good morning good morning good Good morning good morning good Good morning good morning good Guten Morgen guten Morgen gut Guten Morgen guten Morgen gut Guten Morgen guten Morgen gut Guten Morgen guten Morgen gut Guten Morgen guten Morgen gut Guten Morgen guten Morgen gut Guten Morgen guten Morgen good morning
Lennon,Now it s time to say good night Good night sleep tight Now the sun turns out his light Good night sleep tight Dream sweet dreams for me Dream sweet dreams for you Close your eyes and I ll close mine Good night sleep tight Now the moon begins to shine Good night sleep tight Dream sweet dreams for me Dream sweet dreams for you Mmm Close your eyes and I ll close mine Good night sleep tight Now the sun turns out his light Good night sleep tight Dream sweet dreams for me Dream sweet dreams for you Good night Good night everybody Everybody everywhere Good night
Lennon,She s not a girl who misses much Do do do do do do oh yeah She s well acquainted with the touch of the velvet hand Like a lizard on a window pane The man in the crowd with the multicoloured mirrors On his hobnail boots Lying with his eyes while his hands are busy Working overtime A soap impression of his wife which he ate And donated to the National Trust I need a fix cause I m going down Down to the bits that I left uptown I need a fix cause I m going down Mother Superior jumped the gun Mother Superior jumped the gun Mother Superior jumped the gun Mother Superior jumped the gun Mother Superior jumped the gun Mother Superior jumped the gun Happiness is a warm gun Happiness is a warm gun mama When I hold you in my arms And I feel my finger on your trigger I know nobody can do me no harm Because Is a warm gun mama Happiness is a warm gun yes it is Happiness is a warm yes it is gun Well don t you know that happiness is a warm gun mama
Lennon,I need somebody Not just anybody You know I need someone When I was younger so much younger than today I never needed anybody s help in any way But now these days are gone I m not so self assured Now I find I ve changed my mind and opened up the doors Help me if you can I m feeling down And I do appreciate you being round Help me get my feet back on the ground Won t you please please help me And now my life has changed in oh so many ways My independence seems to vanish in the haze But every now and then I feel so insecure I know that I just need you like I ve never done before Help me if you can I m feeling down And I do appreciate you being round Help me get my feet back on the ground Won t you please please help me When I was younger so much younger than today I never needed anybody s help in any way But now these days are gone I m not so self assured Now I find I ve changed my mind and opened up the doors Help me if you can I m feeling down And I do appreciate you being round Help me get my feet back on the ground Won t you please please help me Help me Help me ooh
Lennon,I am he as you are he as you are me And we are all together See how they run like pigs from a gun See how they fly I m cryin Sitting on a cornflake Waiting for the van to come Corporation tee shirt stupid bloody Tuesday Man you ve been a naughty boy You let your face grow long I am the eggman They are the eggmen I am the walrus Goo goo g joob Mister City policeman sitting Pretty little policemen in a row See how they fly like Lucy in the sky See how they run I m cryin I m cryin I m cryin I m cryin Yellow matter custard Dripping from a dead dog s eye Crabalocker fishwife pornographic priestess Boy you ve been a naughty girl You let your knickers down I am the eggman They are the eggmen I am the walrus Goo goo g joob Sitting in an English garden waiting for the sun If the sun don t come you get a tan From standing in the English rain I am the egg man They are the egg men I am the walrus Goo goo goo joob G goo goo g joob Expert textpert choking smokers Don t you think the joker laughs at you See how they smile like pigs in a sty See how they snied I m cryin Semolina pilchard Climbing up the Eiffel Tower Elementary penguin singing Hare Krishna Man you should have seen them Kicking Edgar Allan Poe I am the eggman They are the eggmen I am the walrus Goo goo g joob g goo goo g joob Goo goo a joob g goo goo g joob g goo Joob Joob Joob Joob Joob Joob Joob Joob Joob Joob Joob Joob Joob Joob Joob Umpa umpa stick it up your jumper Everybody s got one everybody s got one Villain take my Purse If ever thou wilt thrive bury my Body And give the Letters which thou findst about me To Edmund Earl of Gloucester seek him out upon the English Party Oh untimely death death I know thee well a serviceable Villain as duteous to the Vices of thy Mistress as badness would desire What is he dead Sit you down Father rest you
Lennon,I call your name But you re not there Was I to blame For being unfair Oh I can t sleep at night Since you ve been gone I never weep at night I can t go on Don t you know I can t take it I don t know who can I m not gonna make it I m not that kind of man Oh I can t sleep at night But just the same I never weep at night I call your name Oh Don t you know I can t take it I don t know who can I m not gonna make it I m not that kind of man Oh I can t sleep at night But just the same I never weep at night I call your name I call your name I call your name Woo I call your name
Lennon,I don t want to spoil the party so I ll go I would hate my disappointment to show There s nothing for me here so I will disappear If she turns up while I m gone please let me know I ve had a drink or two and I don t care There s no fun in what I do when she s not there I wonder what went wrong I ve waited far too long I think I ll take a walk and look for her Though tonight she s made me sad I still love her If I find her I ll be glad I still love her I don t want to spoil the party so I ll go I would hate my disappointment to show There s nothing for me here so I will disappear If she turns up while I m gone please let me know Though tonight she s made me sad I still love her If I find her I ll be glad I still love her Though I ve had a drink or two and I don t care There s no fun in what I do if she s not there I wonder what went wrong I ve waited far too long I think I ll take a walk and look for her
Lennon,Baby s good to me you know She s happy as can be you know She said so I m in love with her and I feel fine Baby says she s mine you know She tells me all the time you know She said so I m in love with her and I feel fine I m so glad that she s my little girl She s so glad she s telling all the world That her baby buys her things you know He buys her diamond rings you know She said so She s in love with me and I feel fine mmm Baby says she s mine you know She tells me all the time you know She said so I m in love with her and I feel fine I m so glad that she s my little girl She s so glad she s telling all the world That her baby buys her things you know He buys her diamond rings you know She said so She s in love with me and I feel fine She s in love with me and I feel fine mmm
Lennon,I should have known better with a girl like you That I would love everything that you do And I do hey hey hey and I do Whoa oo oh oo I never realized what a kiss could be This could only happen to me Can t you see Can t you see That when I tell you that I love you oh You re gonna say you love me too oh oh And when I ask you to be mine You re gonna say you love me too So I should have realized a lot of things before If this is love you ve got to give me more Give me more hey hey hey give me more Whoa oo oh oo I never realized what a kiss could be This could only happen to me Can t you see Can t you see That when I tell you that I love you oh You re gonna say you love me too oh oh And when I ask you to be mine You re gonna say you love me too You love me too You love me too You love me too
Lennon,I want you I want you so bad I want you I want you so bad it s driving me mad It s driving me mad I want you I want you so bad babe I want you I want you so bad it s driving me mad It s driving me I want you I want you so bad babe I want you I want you so bad it s driving me mad It s driving me mad I want you I want you so bad I want you I want you so bad it s driving me mad It s driving me She s so Heavy Heavy She s so Heavy She s so heavy I want you I want you so bad I want you I want you so bad it s driving me mad It s driving me mad I want you you know I want you so bad babe I want you you know I want you so bad it s driving me mad It s driving me mad Yeah She s so
Lennon,If I fell in love with you Would you promise to be true And help me understand Cause I ve been in love before And I found that love was more Than just holding hands If I give my heart to you I must be sure From the very start that you Would love me more than her If I trust in you oh please Don t run and hide If I love you too oh please Don t hurt my pride like her Cause I couldn t stand the pain And I Would be sad if our new love Was in vain So I hope you see that I Would love to love you And that she will cry When she learns we are two Cause I couldn t stand the pain And I Would be sad if our new love Was in vain So I hope you see that I Would love to love you And that she will cry When she learns we are two If I fell in love with you
Lennon,You know if you break my heart I ll go But I ll be back again Cause I told you once before goodbye But I came back again I love you so I m the one who wants you Yes I m the one who wants you Oh oh oh oh oh oh oh oh oh You could find better things to do Than to break my heart again This time I will try to show that I m Not trying to pretend I thought that you would realise That if I ran away from you That you would want me too But I got a big surprise Oh oh oh oh oh oh oh oh oh You could find better things to do Than to break my heart again This time I will try to show that I m Not trying to pretend I wanna go But I hate to leave you You know I hate to leave you Oh oh oh oh oh oh oh oh oh You if you break my heart I ll go But I ll be back again
Lennon,I ve got every reason on earth to be mad Cause I ve just lost the only girl I had If I could get my way I d get myself locked up today But I can t so I ll cry instead I ve got a chip on my shoulder that s bigger than my feet I can t talk to people that I meet If I could see you now I d try to make you sad somehow But I can t so I ll cry instead Don t wanna cry when there s people there I get shy when they start to stare I m gonna hide myself away hey But I ll come back again someday And when I do you better hide all the girls I m gonna break their hearts all round the world Yes I m gonna break em in two And show you what your loving man can do Until then I ll cry instead Don t wanna cry when there s people there I get shy when they start to stare I m gonna hide myself away hey But I ll come back again someday And when I do you better hide all the girls Cause I m gonna break their hearts all round the world Yes I m gonna break em in two And show you what your loving man can do Until then I ll cry instead
Lennon,I m a loser I m a loser And I m not what I appear to be Of all the love I have won or have lost There is one love I should never have crossed She was a girl in a million my friend I should have known she would win in the end I m a loser And I lost someone who s near to me I m a loser And I m not what I appear to be Although I laugh and I act like a clown Beneath this mask I am wearing a frown My tears are falling like rain from the sky Is it for her or myself that I cry I m a loser And I lost someone who s near to me I m a loser And I m not what I appear to be What have I done to deserve such a fate I realise I have left it too late And so it s true pride comes before a fall I m telling you so that you won t lose all I m a loser And I lost someone who s near to me I m a loser And I m not what I appear to be
Lennon,Before this dance is through I think I ll love you too I m so happy when you dance with me I don t want to kiss or hold your hand If it s funny try and understand There is really nothing else I d rather do Cause I m happy just to dance with you I don t need to hug or hold you tight I just want to dance with you all night In this world there s nothing I would rather do Cause I m happy just to dance with you Just to dance with you Is everything I need Before this dance is through I think I ll love you too I m so happy when you dance with me If somebody tries to take my place Let s pretend we just can t see his face In this world there s nothing I would rather do Cause I m happy just to dance with you Just to dance with you is everything I need Before this dance is through I think I ll love you too I m so happy when you dance with me If somebody tries to take my place Let s pretend we just can t see his face In this world there s nothing I would rather do I ve discovered I m in love with you Oh Oh Cause I m happy just to dance with you Oh Oh Oh
Lennon,When I wake up early in the morning Lift my head I m still yawning When I m in the middle of a dream Stay in bed float up stream Please don t wake me No don t shake me Leave me where I am I m only sleeping Everybody seems to think I m lazy I don t mind I think they re crazy Running everywhere at such a speed Till they find there s no need Please don t spoil my day I m miles away And after all I m only sleeping Keeping an eye on the world going by my window Taking my time Lying there and staring at the ceiling Waiting for a sleepy feeling Please don t spoil my day I m miles away And after all I m only sleeping Keeping an eye on the world going by my window Taking my time When I wake up early in the morning Lift my head I m still yawning When I m in the middle of a dream Stay in bed float up stream Please don t wake me No don t shake me Leave me where I am I m only sleeping
Lennon,I m so tired I haven t slept a wink I m so tired my mind is on the blink I wonder should I get up And fix myself a drink No no no I m so tired I don t know what to do I m so tired my mind is set on you I wonder should I call you But I know what you would do You d say I m putting you on But it s no joke it s doing me harm You know I can t sleep I can t stop my brain You know it s three weeks I m going insane You know I d give you everything I ve got For a little peace of mind I m so tired I m feeling so upset Although I m so tired I ll have another cigarette And curse Sir Walter Raleigh He was such a stupid git You d say I m putting you on But it s no joke it s doing me harm You know I can t sleep I can t stop my brain You know it s three weeks I m going insane You know I d give you everything I ve got For a little peace of mind I d give you everything I ve got For a little peace of mind I d give you everything I ve got For a little peace of mind
Lennon,It won t be long yeah yeah yeah It won t be long yeah yeah yeah It won t be long yeah till I belong to you Every night when everybody has fun Here am I sitting all on my own It won t be long yeah yeah yeah It won t be long yeah yeah yeah It won t be long yeah till I belong to you Since you left me I m so alone Now you re coming you re coming on home I ll be good like I know I should You re coming home you re coming home Every night the tears come down from my eyes Every day I ve done nothing but cry It won t be long yeah yeah yeah It won t be long yeah yeah yeah It won t be long yeah till I belong to you Ooh since you left me I m so alone Now you re coming you re coming on home I ll be good like I know I should You re coming home you re coming home So every day we ll be happy I know Now I know that you won t leave me no more It won t be long yeah yeah yeah It won t be long yeah yeah It won t be long yeah till I belong to you
Lennon,I get high when I see you go by My oh my When you sigh my my inside just flies Butterflies Why am I so shy when I m beside you It s only love and that is all Why should I feel the way I do It s only love and that is all But it s so hard loving you Is it right that you and I should fight Every night Just the sight of you makes nighttime bright Very bright Haven t I the right to make it up girl It s only love and that is all Why should I feel the way I do It s only love and that is all But it s so hard loving you Yes it s so hard loving you Loving you
Lennon,Half of what I say is meaningless But I say it just to reach you Julia Julia Julia Ocean child calls me So I sing a song of love Julia Julia seashell eyes Windy smile calls me So I sing a song of love Julia Her hair of floating sky is shimmering Glimmering in the sun Julia Julia Morning moon touch me So I sing a song of love Julia When I cannot sing my heart I can only speak my mind Julia Julia sleeping sand Silent cloud touch me So I sing a song of love Julia Hmm hmm hmm Calls me So I sing a song of love for Julia Julia Julia
Lennon,Picture yourself in a boat on a river With tangerine trees and marmalade skies Somebody calls you you answer quite slowly A girl with kaleidoscope eyes Cellophane flowers of yellow and green Towering over your head Look for the girl with the sun in her eyes And she s gone Lucy in the sky with diamonds Lucy in the sky with diamonds Lucy in the sky with diamonds Ahh Follow her down to a bridge by a fountain Where rocking horse people eat marshmallow pies Everyone smiles as you drift past the flowers That grow so incredibly high Newspaper taxis appear on the shore Waiting to take you away Climb in the back with your head in the clouds And you re gone Lucy in the sky with diamonds Lucy in the sky with diamonds Lucy in the sky with diamonds Ahh Picture yourself on a train in a station With plasticine porters with looking glass ties Suddenly someone is there at the turnstile The girl with kaleidoscope eyes Lucy in the sky with diamonds Lucy in the sky with diamonds Lucy in the sky with diamonds Ahh Lucy in the sky with diamonds Lucy in the sky with diamonds Lucy in the sky with diamonds Ahh Lucy in the sky with diamonds Lucy in the sky with diamonds Lucy in the sky with diamonds
Lennon,Mean Mister Mustard sleeps in the park Shaves in the dark trying to save paper Sleeps in a hole in the road Saving up to buy some clothes Keeps a ten bob note up his nose Such a mean old man Such a mean old man His sister Pam works in a shop She never stops she s a go getter Takes him out to look at the Queen Only place that he s ever been Always shouts out something obscene Such a dirty old man Dirty old man
Lennon,This happened once before when I came to your door no reply They said it wasn t you but I saw you peep through your window I saw the light I saw the light I know that you saw me cause I looked up to see your face I tried to telephone they said you were not home that s a lie Cause I know where you ve been I saw you walk in your door I nearly died I nearly died Cause you walked hand in hand with another man in my place If I were you I d realise that I Love you more than any other guy And I ll forgive the lies that I Heard before when you gave me no reply I tried to telephone they said you were not home that s a lie Cause I know where you ve been I saw you walk in your door I nearly died I nearly died Cause you walked hand in hand with another man in my place No reply no reply
Lennon,I once had a girl Or should I say she once had me She showed me her room Isn t it good Norwegian wood She asked me to stay And she told me to sit anywhere So I looked around And I noticed there wasn t a chair I sat on the rug Biding my time drinking her wine We talked until two And then she said It s time for bed She told me she worked in the morning And started to laugh I told her I didn t And crawled off to sleep in the bath And when I awoke I was alone this bird had flown So I lit a fire Isn t it good Norwegian wood
Lennon,You know you made me cry I see no use in wondering why I cry for you And now you ve changed your mind I see no reason to change mine I cry it s through oh You re giving me the same old line I m wondering why You hurt me then you re back again No no no not a second time You know you made me cry I see no use in wondering why I cry for you yeah And now you ve changed your mind I see no reason to change mine I cry it s through oh You re giving me the same old line I m wondering why You hurt me then you re back again No no no not a second time Not a second time Not a second time No no no no Not a second time
Lennon,He s a real nowhere man Sitting in his nowhere land Making all his nowhere plans for nobody Doesn t have a point of view Knows not where he s going to Isn t he a bit like you and me Nowhere man please listen You don t know what you re missing Nowhere man the world Is at your command He s as blind as he can be Just sees what he wants to see Nowhere man can you see me at all Nowhere man don t worry Take your time don t hurry Leave it all till somebody else Lends you a hand Doesn t have a point of view Knows not where he s going to Isn t he a bit like you and me Nowhere man please listen You don t know what you re missing Nowhere man the world Is at your command He s a real nowhere man Sitting in his nowhere land Making all his nowhere plans for nobody Making all his nowhere plans for nobody Making all his nowhere plans for nobody
Lennon,My baby said she s traveling on the one after I said Move over honey I m traveling on that line I said Move over once move over twice Come on baby don t be cold as ice Said she s traveling on the one after I begged her not to go and I begged her on my bended knees You re only fooling round only fooling round with me I said move over once move over twice Come on baby don t be cold as ice Said she s traveling on the one after Pick up my bags run to the station Railman said You ve got the wrong location Pick up my bag run right home Then I find I ve got the number wrong Well she said she s traveling on the one after I said move over honey I m traveling on that line I said move over once move over twice Come on baby don t be cold as ice She said she s traveling on the one after yeah Pick up my bag run to the station Railman says you ve got the wrong location Pick up my bag run right home Then I find I ve got the number wrong Well she said she s traveling on the one after I said move over honey I m traveling on that line I said move over once move over twice Come on baby don t be cold as ice Said she s traveling on the one after Said she s traveling on the one after Said she s traveling on the one after Oh Danny boy the old savanna calling
Lennon,Last night I said these words to my girl I know you never even try girl Come on come on Come on come on Please please me whoa yeah like I please you You don t need me to show the way love Why do I always have to say love Come on Come on Come on Come on Please please me woah yeah like I please you I don t want to sound complaining But you know there s always rain in my heart I do all the pleasing with you it s so hard to reason With you woah yeah why do you make me blue Last night I said these words to my girl Why do I never even try girl Come on Come on Come on Come on Please please me woah yeah like I please you Me woah yeah like I please you Me woah yeah like I please you
